congress;district;state;party;name;dwnom1;dwnom2
 80;21;CALIFOR;Democrat;SHEPPARD;-0,173; 0,273
 80;22;CALIFOR;Republican;PHILLIPS; 0,416;-0,272
 80;23;CALIFOR;Republican;FLETCHER; 0,237;-0,395
 80; 1;COLORAD;Democrat;CARROLL  J.;-0,452; 0,163
 80; 2;COLORAD;Republican;HILL  W.; 0,257;-0,130
 80; 3;COLORAD;Republican;CHENOWETH; 0,234;-0,259
 80; 4;COLORAD;Republican;ROCKWELL; 0,326;-0,025
 80; 1;CONNECT;Republican;MILLER  W.; 0,090;-0,700
 80; 2;CONNECT;Republican;SEELY-BROWN; 0,100;-0,765
 80; 3;CONNECT;Republican;FOOTE  E.B.; 0,117;-0,794
 80; 4;CONNECT;Republican;LODGE  J.D.; 0,076;-0,716
 80; 5;CONNECT;Republican;PATTERSON; 0,180;-0,733
 80;99;CONNECT;Republican;SADLAK  A.; 0,226;-0,674
 80; 1;DELAWAR;Republican;BOGGS  J.; 0,197;-0,457
 80; 1;FLORIDA;Democrat;PETERSON;-0,056; 0,790
 80; 2;FLORIDA;Democrat;PRICE  E.;-0,016; 0,795
 80; 3;FLORIDA;Democrat;SIKES  R.;-0,045; 0,902
 80; 4;FLORIDA;Democrat;SMATHERS;-0,096; 0,834
 80; 5;FLORIDA;Democrat;HENDRICKS;-0,023; 0,739
 80; 6;FLORIDA;Democrat;ROGERS  D.; 0,021; 0,871
 80; 1;GEORGIA;Democrat;PRESTON  P.;-0,047; 0,880
 80; 2;GEORGIA;Democrat;COX  E.; 0,115; 1,105
 80; 3;GEORGIA;Democrat;PACE  S.;-0,037; 0,988
 80; 4;GEORGIA;Democrat;CAMP  A.;-0,082; 0,986
 80; 5;GEORGIA;Democrat;DAVIS  J.; 0,110; 0,897
 80; 6;GEORGIA;Democrat;VINSON  C.;-0,130; 0,822
 80; 7;GEORGIA;Democrat;LANHAM  H.;-0,176; 0,872
 80; 8;GEORGIA;Democrat;WHEELER  W.; 0,173; 0,985
 80; 9;GEORGIA;Democrat;WOOD  J.; 0,150; 1,017
 80;10;GEORGIA;Democrat;BROWN  P.;-0,105; 0,995
 80; 1;IDAHO;Republican;GOFF  A.; 0,258;-0,265
 80; 2;IDAHO;Republican;SANBORN  J.; 0,396;-0,272
 80; 1;ILLINOI;Democrat;DAWSON  W.;-0,492; 0,150
 80; 2;ILLINOI;Republican;VAIL  R.; 0,449;-0,328
 80; 3;ILLINOI;Republican;BUSBEY  F.; 0,444;-0,247
 80; 4;ILLINOI;Democrat;GORSKI  M.;-0,315;-0,136
 80; 5;ILLINOI;Democrat;SABATH  A.;-0,455;-0,276
 80; 6;ILLINOI;Democrat;O'BRIEN  T.;-0,264;-0,245
 80; 7;ILLINOI;Republican;OWENS  T.; 0,464;-0,864
 80; 8;ILLINOI;Democrat;GORDON  T.;-0,348;-0,148
 80; 9;ILLINOI;Republican;TWYMAN  R.; 0,392;-0,920
 80;10;ILLINOI;Republican;CHURCH  R.; 0,429;-0,308
 80;11;ILLINOI;Republican;REED  C.; 0,358;-0,276
 80;12;ILLINOI;Republican;MASON  N.; 0,513; 0,007
 80;13;ILLINOI;Republican;ALLEN  L.; 0,357;-0,188
 80;14;ILLINOI;Republican;JOHNSON  A.; 0,534;-0,042
 80;15;ILLINOI;Republican;CHIPERFIELD; 0,324;-0,404
 80;16;ILLINOI;Republican;DIRKSEN  E.; 0,228;-0,372
 80;17;ILLINOI;Republican;ARENDS  L.; 0,294;-0,308
 80;18;ILLINOI;Republican;JENISON  E.; 0,442;-0,278
 80;19;ILLINOI;Republican;MCMILLEN; 0,288;-0,152
 80;20;ILLINOI;Republican;SIMPSON  S.; 0,301; 0,006
 80;21;ILLINOI;Republican;HOWELL  E.; 0,295;-0,471
 80;22;ILLINOI;Democrat;PRICE  C.;-0,404; 0,205
 80;23;ILLINOI;Republican;VURSELL  C.; 0,432;-0,218
 80;24;ILLINOI;Republican;CLIPPINGER; 0,455;-0,413
 80;25;ILLINOI;Republican;BISHOP  C.; 0,432;-0,665
 80;99;ILLINOI;Republican;STRATTON; 0,194;-0,332
 80; 1;INDIANA;Democrat;MADDEN  R.;-0,372; 0,027
 80; 2;INDIANA;Republican;HALLECK  C.; 0,275;-0,373
 80; 3;INDIANA;Republican;GRANT  R.; 0,381;-0,572
 80; 4;INDIANA;Republican;GILLIE  G.; 0,409;-0,236
 80; 5;INDIANA;Republican;HARNESS  F.; 0,486;-0,328
 80; 6;INDIANA;Republican;JOHNSON  N.; 0,329;-0,552
 80; 7;INDIANA;Republican;LANDIS  G.; 0,402;-0,270
 80; 8;INDIANA;Republican;MITCHELL; 0,261;-0,737
 80; 9;INDIANA;Republican;WILSON  E.; 0,343;-0,259
 80;10;INDIANA;Republican;SPRINGER; 0,392;-0,371
 80;10;INDIANA;Republican;HARVEY  R.; 0,264;-0,134
 80;11;INDIANA;Democrat;LUDLOW  L.;-0,131;-0,457
 80; 1;IOWA;Republican;MARTIN  T.; 0,308; 0,020
 80; 2;IOWA;Republican;TALLE  H.; 0,267;-0,084
 80; 3;IOWA;Republican;GWYNNE  J.; 0,395; 0,162
 80; 4;IOWA;Republican;LECOMPTE; 0,263;-0,119
 80; 5;IOWA;Republican;CUNNINGHAM; 0,214;-0,196
 80; 6;IOWA;Republican;DOLLIVER; 0,292;-0,015
 80; 7;IOWA;Republican;JENSEN  B.; 0,386; 0,095
 80; 8;IOWA;Republican;HOEVEN  C.; 0,277;-0,021
 80; 1;KANSAS;Republican;COLE  A.; 0,264;-0,190
 80; 2;KANSAS;Republican;SCRIVNER; 0,443;-0,205
 80; 3;KANSAS;Republican;MEYER  H.; 0,353;-0,063
 80; 4;KANSAS;Republican;REES  E.; 0,326;-0,175
 80; 5;KANSAS;Republican;HOPE  C.; 0,203;-0,059
 80; 6;KANSAS;Republican;SMITH  W.; 0,562; 0,373
 80; 1;KENTUCK;Democrat;GREGORY  N.;-0,153; 0,947
 80; 2;KENTUCK;Democrat;CLEMENTS;-0,144; 0,265
 80; 2;KENTUCK;Democrat;WHITAKER;-0,249; 0,967
 80; 3;KENTUCK;Republican;MORTON  T.; 0,127;-0,207
 80; 4;KENTUCK;Democrat;CHELF  F.;-0,136; 0,616
 80; 5;KENTUCK;Democrat;SPENCE  B.;-0,256; 0,403
 80; 6;KENTUCK;Democrat;CHAPMAN  V.; 0,004; 0,693
 80; 7;KENTUCK;Republican;MEADE  W.; 0,041;-0,459
 80; 8;KENTUCK;Democrat;BATES  J.;-0,210; 0,614
 80; 9;KENTUCK;Republican;ROBSION  J.; 0,328;-0,331
 80; 9;KENTUCK;Republican;LEWIS  W.; 0,197;-0,431
 80; 1;LOUISIA;Democrat;HEBERT  F.; 0,001; 0,646
 80; 2;LOUISIA;Democrat;BOGGS  T.;-0,138; 0,615
 80; 3;LOUISIA;Democrat;DOMENGEAUX; 0,039; 0,672
 80; 4;LOUISIA;Democrat;BROOKS  O.;-0,055; 0,816
 80; 5;LOUISIA;Democrat;PASSMAN  O.; 0,074; 0,912
 80; 6;LOUISIA;Democrat;MORRISON;-0,063; 0,554
 80; 7;LOUISIA;Democrat;LARCADE  H.; 0,035; 0,649
 80; 8;LOUISIA;Democrat;ALLEN  A.;-0,015; 0,792
 80; 1;MAINE;Republican;HALE  R.; 0,202;-0,256
 80; 2;MAINE;Republican;SMITH  M.C.; 0,048;-0,960
 80; 3;MAINE;Republican;FELLOWS  F.; 0,356; 0,008
 80; 1;MARYLAN;Republican;MILLER  E.; 0,341;-0,263
 80; 2;MARYLAN;Democrat;MEADE  H.; 0,005; 0,098
 80; 3;MARYLAN;Democrat;D'ALESANDRO;-0,114; 0,127
 80; 3;MARYLAN;Democrat;GARMATZ  E.;-0,192;-0,045
 80; 4;MARYLAN;Democrat;FALLON  G.;-0,029;-0,027
 80; 5;MARYLAN;Democrat;SASSCER  L.;-0,116; 0,156
 80; 6;MARYLAN;Republican;BEALL  J.; 0,214;-0,658
 80; 1;MASSACH;Republican;HESELTON; 0,089;-0,881
 80; 2;MASSACH;Republican;CLASON  C.; 0,143;-0,552
 80; 3;MASSACH;Democrat;PHILBIN  P.;-0,084;-0,234
 80; 4;MASSACH;Democrat;DONOHUE  H.;-0,167;-0,235
 80; 5;MASSACH;Republican;ROGERS  E.; 0,101;-0,482
 80; 6;MASSACH;Republican;BATES  G.; 0,195;-0,424
 80; 7;MASSACH;Democrat;LANE  T.;-0,226;-0,133
 80; 8;MASSACH;Republican;GOODWIN  A.; 0,325;-0,654
 80; 9;MASSACH;Republican;GIFFORD  C.; 0,268;-0,075
 80; 9;MASSACH;Republican;NICHOLSON; 0,413; 0,014
 80;10;MASSACH;Republican;HERTER  C.; 0,162;-0,708
 80;11;MASSACH;Democrat;KENNEDY  J.;-0,230;-0,198
 80;12;MASSACH;Democrat;MCCORMACK;-0,255; 0,030
 80;13;MASSACH;Republican;WIGGLESWORT; 0,214;-0,744
 80; 1;MICHIGA;Democrat;SADOWSKI;-0,619;-1,066
 80; 2;MICHIGA;Republican;MICHENER; 0,236;-0,262
 80; 3;MICHIGA;Republican;SHAFER  P.; 0,456;-0,081
 80; 4;MICHIGA;Republican;HOFFMAN  C.; 0,636; 0,075
 80; 5;MICHIGA;Republican;JONKMAN  B.; 0,326;-0,311
 80; 6;MICHIGA;Republican;BLACKNEY; 0,259;-0,307
 80; 7;MICHIGA;Republican;WOLCOTT  J.; 0,312;-0,371
 80; 8;MICHIGA;Republican;CRAWFORD; 0,422; 0,137
 80; 9;MICHIGA;Republican;ENGEL  A.; 0,131;-0,722
 80;10;MICHIGA;Republican;WOODRUFF; 0,430;-0,065
 80;11;MICHIGA;Republican;BRADLEY  F.; 0,534;-0,134
 80;11;MICHIGA;Republican;POTTER  C.; 0,278;-0,351
 80;12;MICHIGA;Republican;BENNETT  J.; 0,189;-0,150
 80;13;MICHIGA;Republican;COFFIN  H.; 0,225;-0,532
 80;14;MICHIGA;Republican;YOUNGBLOOD; 0,422;-0,357
 80;15;MICHIGA;Democrat;DINGELL  J.;-0,334;-0,248
 80;16;MICHIGA;Democrat;LESINSKI;-0,330;-0,327
 80;17;MICHIGA;Republican;DONDERO  G.; 0,332;-0,214
 80; 1;MINNESO;Republican;ANDRESEN; 0,321;-0,014
 80; 2;MINNESO;Republican;O'HARA  J.; 0,377; 0,123
 80; 3;MINNESO;Republican;MACKINNON; 0,141;-0,459
 80; 4;MINNESO;Republican;DEVITT  E.; 0,095;-0,741
 80; 5;MINNESO;Republican;JUDD  W.; 0,107;-0,523
 80; 6;MINNESO;Republican;KNUTSON  H.; 0,399; 0,115
 80; 7;MINNESO;Republican;ANDERSEN; 0,282; 0,017
 80; 8;MINNESO;Democrat;BLATNIK  J.;-0,497; 0,204
 80; 9;MINNESO;Republican;HAGEN  H.; 0,128;-0,100
 80; 1;MISSISS;Democrat;RANKIN  J.; 0,234; 0,978
 80; 2;MISSISS;Democrat;WHITTEN  J.; 0,082; 1,098
 80; 3;MISSISS;Democrat;WHITTINGTON; 0,072; 1,150
 80; 4;MISSISS;Democrat;ABERNETHY; 0,117; 0,996
 80; 5;MISSISS;Democrat;WINSTEAD; 0,091; 0,991
 80; 6;MISSISS;Democrat;COLMER  W.; 0,090; 1,010
 80; 7;MISSISS;Democrat;WILLIAMS; 0,105; 0,985
 80; 1;MISSOUR;Republican;ARNOLD  S.; 0,442;-0,010
 80; 2;MISSOUR;Republican;SCHWABE  M.; 0,466; 0,337
 80; 3;MISSOUR;Republican;COLE  W.; 0,373;-0,141
 80; 4;MISSOUR;Democrat;BELL  C.; 0,087; 0,823
 80; 5;MISSOUR;Republican;REEVES  A.; 0,287;-0,384
 80; 6;MISSOUR;Republican;BENNETT  M.; 0,333; 0,028
 80; 7;MISSOUR;Republican;SHORT  D.; 0,427; 0,132
 80; 8;MISSOUR;Republican;BANTA  P.; 0,556; 0,223
 80; 9;MISSOUR;Democrat;CANNON  C.;-0,091; 0,464
 80;10;MISSOUR;Democrat;ZIMMERMAN;-0,067; 0,581
 80;11;MISSOUR;Republican;BAKEWELL; 0,039;-0,907
 80;12;MISSOUR;Republican;PLOESER  W.; 0,353;-0,439
 80;13;MISSOUR;Democrat;KARSTEN  F.;-0,444; 0,029
 80; 1;MONTANA;Democrat;MANSFIELD;-0,246;-0,056
 80; 2;MONTANA;Republican;D'EWART  W.; 0,276;-0,087
 80; 1;NEBRASK;Republican;CURTIS  C.; 0,373; 0,125
 80; 2;NEBRASK;Republican;BUFFETT  H.; 0,576;-0,163
 80; 3;NEBRASK;Republican;STEFAN  K.; 0,256; 0,014
 80; 4;NEBRASK;Republican;MILLER  A.; 0,370; 0,042
 80; 1;NEVADA;Republican;RUSSELL  C.; 0,165;-0,470
 80; 1;NEW HAM;Republican;MERROW  C.; 0,178;-0,257
 80; 2;NEW HAM;Republican;COTTON  N.; 0,243;-0,413
 80; 1;NEW JER;Republican;WOLVERTON; 0,044;-0,667
 80; 2;NEW JER;Republican;HAND  T.; 0,163;-0,993
 80; 3;NEW JER;Republican;AUCHINCLOSS; 0,187;-0,558
 80; 4;NEW JER;Republican;MATHEWS  F.; 0,227;-0,476
 80; 5;NEW JER;Republican;EATON  C.A.; 0,201;-0,177
 80; 6;NEW JER;Republican;CASE  C.; 0,059;-0,748
 80; 7;NEW JER;Republican;THOMAS  J.; 0,305;-0,207
 80; 8;NEW JER;Republican;CANFIELD; 0,035;-1,002
 80; 9;NEW JER;Republican;TOWE  H.L.; 0,246;-0,485
 80;10;NEW JER;Republican;HARTLEY  F.; 0,178;-0,429
 80;11;NEW JER;Republican;SUNDSTORM; 0,237;-0,447
 80;12;NEW JER;Republican;KEAN  R.; 0,173;-0,942
 80;13;NEW JER;Democrat;NORTON  M.;-0,383;-0,078
 80;14;NEW JER;Democrat;HART  E.;-0,242;-0,232
 80;98;NEW MEX;Democrat;FERNANDEZ;-0,080; 0,454
 80;98;NEW MEX;Democrat;LUSK  G.;-0,231; 0,768
 80; 1;NEW YOR;Republican;MACY  W.; 0,463;-0,364
 80; 2;NEW YOR;Republican;HALL  L.W.; 0,222;-0,412
 80; 3;NEW YOR;Republican;LATHAM  H.; 0,188;-0,575
 80; 4;NEW YOR;Republican;MCMAHON  G.; 0,252;-0,773
 80; 5;NEW YOR;Republican;ROSS  R.; 0,205;-0,831
 80; 6;NEW YOR;Republican;NODAR  R.; 0,231;-0,862
 80; 7;NEW YOR;Democrat;DELANEY  J.;-0,433;-0,124
 80; 8;NEW YOR;Democrat;PFEIFER  J.;-0,377;-0,354
 80; 9;NEW YOR;Democrat;KEOGH  E.;-0,336; 0,013
 80;10;NEW YOR;Democrat;SOMERS  A.;-0,327;-0,432
 80;11;NEW YOR;Democrat;HEFFERNAN;-0,362;-0,230
 80;12;NEW YOR;Democrat;ROONEY  J.;-0,375; 0,105
 80;13;NEW YOR;Democrat;O'TOOLE  D.;-0,339;-0,374
 80;14;NEW YOR;Democrat;RAYFIEL  L.;-0,464;-0,604
 80;14;NEW YOR;Democrat;MULTER;-0,578; 0,100
 80;15;NEW YOR;Democrat;CELLER  E.;-0,406;-0,226
 80;16;NEW YOR;Republican;BUCK  E.; 0,323;-0,514
 80;17;NEW YOR;Republican;COUDERT  F.; 0,175;-0,918
 80;18;NEW YOR;Other;MARCANTONIO;-0,563;-1,045
 80;19;NEW YOR;Democrat;KLEIN  A.;-0,635;-0,233
 80;20;NEW YOR;Democrat;BLOOM  S.;-0,408;-0,271
 80;21;NEW YOR;Republican;JAVITS  J.;-0,232;-0,973
 80;22;NEW YOR;Democrat;POWELL  A.;-1,220;-0,481
 80;23;NEW YOR;Democrat;LYNCH  W.;-0,340;-0,154
 80;24;NEW YOR;Democrat;RABIN  B.;-0,519;-0,074
 80;24;NEW YOR;Other;ISACSON;-1,000;-0,011
 80;25;NEW YOR;Democrat;BUCKLEY  C.;-0,405; 0,018
 80;26;NEW YOR;Republican;POTTS  D.; 0,154;-0,988
 80;27;NEW YOR;Republican;GWINN  R.; 0,383;-0,391
 80;28;NEW YOR;Republican;GAMBLE  R.; 0,235;-0,427
 80;29;NEW YOR;Republican;ST.GEORGE; 0,325;-0,734
 80;30;NEW YOR;Republican;LEFEVRE  J.; 0,265;-0,388
 80;31;NEW YOR;Republican;KEARNEY  B.; 0,161;-0,613
 80;32;NEW YOR;Democrat;BYRNE  W.;-0,336;-0,004
 80;33;NEW YOR;Republican;TAYLOR  D.; 0,161;-0,656
 80;34;NEW YOR;Republican;KILBURN  C.; 0,306; 0,000
 80;35;NEW YOR;Republican;FULLER  H.; 0,321;-0,112
 80;36;NEW YOR;Republican;RIEHLMAN; 0,198;-0,708
 80;37;NEW YOR;Republican;HALL  E.A.; 0,171;-0,664
 80;38;NEW YOR;Republican;TABER  J.; 0,535;-0,353
 80;39;NEW YOR;Republican;COLE  W.; 0,278;-0,186
 80;40;NEW YOR;Republican;KEATING  K.; 0,097;-0,938
 80;41;NEW YOR;Republican;WADSWORTH; 0,280; 0,106
 80;42;NEW YOR;Republican;ANDREWS  W.; 0,136;-0,281
 80;43;NEW YOR;Republican;ELSAESSER; 0,157;-0,761
 80;44;NEW YOR;Republican;BUTLER  J.; 0,304;-0,799
 80;45;NEW YOR;Republican;REED  D.; 0,525;-0,195
 80; 1;NORTH C;Democrat;BONNER  H.;-0,041; 0,979
 80; 2;NORTH C;Democrat;KERR  J.;-0,088; 0,769
 80; 3;NORTH C;Democrat;BARDEN  G.; 0,049; 0,999
 80; 4;NORTH C;Democrat;COOLEY  H.;-0,100; 0,819
 80; 5;NORTH C;Democrat;FOLGER  J.;-0,286; 0,784
 80; 6;NORTH C;Democrat;DURHAM  C.;-0,016; 0,781
 80; 7;NORTH C;Democrat;CLARK  J.;-0,075; 0,852
 80; 8;NORTH C;Democrat;DEANE  C.;-0,212; 0,671
 80; 9;NORTH C;Democrat;DOUGHTON; 0,074; 0,978
 80;10;NORTH C;Democrat;JONES  H.;-0,021; 0,840
 80;11;NORTH C;Democrat;BULWINKLE; 0,004; 0,908
 80;12;NORTH C;Democrat;REDDEN  M.; 0,020; 0,838
 80;98;NORTH D;Republican;LEMKE  W.; 0,125;-0,077
 80;98;NORTH D;Republican;ROBERTSON; 0,226;-0,015
 80; 1;OHIO;Republican;ELSTON  C.; 0,345;-0,540
 80; 2;OHIO;Republican;HESS  W.; 0,315;-0,536
 80; 3;OHIO;Republican;BURKE  R.; 0,187;-0,477
 80; 4;OHIO;Republican;JONES  R.; 0,722;-0,060
 80; 4;OHIO;Republican;MCCULLOCH; 0,368;-0,306
 80; 5;OHIO;Republican;CLEVENGER; 0,581;-0,198
 80; 6;OHIO;Republican;MCCOWEN  E.; 0,409;-0,427
 80; 7;OHIO;Republican;BROWN  C.; 0,374;-0,236
 80; 8;OHIO;Republican;SMITH  F.; 1,229;-0,289
 80; 9;OHIO;Republican;RAMEY  H.; 0,171;-0,803
 80;10;OHIO;Republican;JENKINS  T.; 0,338;-0,258
 80;11;OHIO;Republican;BREHM  W.; 0,301;-0,235
 80;12;OHIO;Republican;VORYS  J.; 0,271;-0,470
 80;13;OHIO;Republican;WEICHEL  A.; 0,308;-0,309
 80;14;OHIO;Democrat;HUBER  W.;-0,396;-0,470
 80;15;OHIO;Republican;GRIFFITHS; 0,392;-0,125
 80;16;OHIO;Republican;CARSON  H.; 0,362;-0,195
 80;17;OHIO;Republican;MCGREGOR; 0,371;-0,342
 80;18;OHIO;Republican;LEWIS  E.; 0,234;-0,640
 80;19;OHIO;Democrat;KIRWAN  M.;-0,297;-0,076
 80;20;OHIO;Democrat;FEIGHAN  M.;-0,261;-0,069
 80;21;OHIO;Democrat;CROSSER  R.;-0,298;-0,422
 80;22;OHIO;Republican;BOLTON  F.; 0,206;-0,599
 80;99;OHIO;Republican;BENDER  G.; 0,164;-0,912
 80; 1;OKLAHOM;Republican;SCHWABE  G.; 0,555; 0,150
 80; 2;OKLAHOM;Democrat;STIGLER  W.;-0,135; 0,457
 80; 3;OKLAHOM;Democrat;ALBERT  C.;-0,205; 0,746
 80; 4;OKLAHOM;Democrat;JOHNSON  G.;-0,170; 0,610
 80; 5;OKLAHOM;Democrat;MONRONEY;-0,179; 0,480
 80; 6;OKLAHOM;Democrat;MORRIS  T.;-0,112; 0,446
 80; 7;OKLAHOM;Democrat;PEDEN  P.;-0,093; 0,996
 80; 8;OKLAHOM;Republican;RIZLEY  R.; 0,414; 0,365
 80; 1;OREGON;Republican;NORBLAD  A.; 0,184;-0,233
 80; 2;OREGON;Republican;STOCKMAN; 0,255; 0,083
 80; 3;OREGON;Republican;ANGELL  H.; 0,077;-0,549
 80; 4;OREGON;Republican;ELLSWORTH; 0,268;-0,187
 80; 1;PENNSYL;Republican;GALLAGHER; 0,317;-0,948
 80; 2;PENNSYL;Republican;MCGARVEY; 0,351;-0,914
 80; 3;PENNSYL;Republican;SCOTT  HARD; 0,175;-0,885
 80; 4;PENNSYL;Republican;MALONEY  F.; 0,355;-0,362
 80; 5;PENNSYL;Republican;SARBACHER; 0,304;-0,491
 80; 6;PENNSYL;Republican;SCOTT  HUGH; 0,184;-0,854
 80; 7;PENNSYL;Republican;CHADWICK; 0,138;-0,671
 80; 8;PENNSYL;Republican;LICHTENWALT; 0,229;-0,670
 80; 9;PENNSYL;Republican;DAGUE  P.; 0,278;-0,540
 80;10;PENNSYL;Republican;SCOBLICK; 0,242;-0,970
 80;11;PENNSYL;Republican;JENKINS  M.; 0,111;-0,955
 80;12;PENNSYL;Republican;FENTON  I.; 0,208;-0,586
 80;13;PENNSYL;Republican;MUHLENBERG; 0,147;-0,393
 80;14;PENNSYL;Republican;GILLETTE; 0,385;-0,141
 80;15;PENNSYL;Republican;RICH  R.; 0,654; 0,027
 80;16;PENNSYL;Republican;MCCONNELL; 0,278;-0,455
 80;17;PENNSYL;Republican;SIMPSON  R.; 0,382;-0,385
 80;18;PENNSYL;Republican;KUNKEL  J.; 0,148;-0,567
 80;19;PENNSYL;Republican;GAVIN  L.; 0,290;-0,333
 80;20;PENNSYL;Democrat;WALTER  F.;-0,150; 0,025
 80;21;PENNSYL;Republican;GROSS  C.; 0,419;-0,331
 80;22;PENNSYL;Republican;VAN ZANDT; 0,164;-0,602
 80;23;PENNSYL;Republican;CROW  W.; 0,306;-0,937
 80;24;PENNSYL;Democrat;MORGAN  T.;-0,349; 0,142
 80;25;PENNSYL;Republican;GRAHAM  L.; 0,307;-0,375
 80;26;PENNSYL;Republican;TIBBOTT  T.; 0,314;-0,471
 80;27;PENNSYL;Democrat;KELLEY A.;-0,376;-0,215
 80;28;PENNSYL;Republican;KEARNS  C.; 0,283;-0,573
 80;29;PENNSYL;Republican;MCDOWELL; 0,236;-0,903
 80;30;PENNSYL;Republican;CORBETT  R.; 0,089;-0,726
 80;31;PENNSYL;Republican;FULTON  J.; 0,013;-0,752
 80;32;PENNSYL;Democrat;EBERHARTER;-0,320;-0,121
 80;33;PENNSYL;Democrat;BUCHANAN;-0,377; 0,113
 80; 1;RHODE I;Democrat;FORAND  A.;-0,290;-0,123
 80; 2;RHODE I;Democrat;FOGARTY  J.;-0,306;-0,356
 80; 1;SOUTH C;Democrat;RIVERS  L.; 0,033; 0,907
 80; 2;SOUTH C;Democrat;RILEY  J.;-0,072; 0,958
 80; 3;SOUTH C;Democrat;DORN  W.; 0,120; 1,085
 80; 4;SOUTH C;Democrat;BRYSON  J.;-0,010; 0,853
 80; 5;SOUTH C;Democrat;RICHARDS;-0,075; 0,942
 80; 6;SOUTH C;Democrat;MCMILLAN; 0,019; 0,991
 80; 1;SOUTH D;Republican;MUNDT  K.; 0,211; 0,041
 80; 2;SOUTH D;Republican;CASE  F.; 0,264; 0,020
 80; 1;TENNESS;Republican;PHILLIPS; 0,098;-0,210
 80; 2;TENNESS;Republican;JENNINGS; 0,325; 0,119
 80; 3;TENNESS;Democrat;KEFAUVER;-0,270; 0,161
 80; 4;TENNESS;Democrat;GORE  A.;-0,136; 0,619
 80; 5;TENNESS;Democrat;EVINS  J.;-0,202; 0,879
 80; 6;TENNESS;Democrat;PRIEST  J.;-0,198; 0,617
 80; 7;TENNESS;Democrat;COURTNEY;-0,156; 0,773
 80; 8;TENNESS;Democrat;MURRAY  T.; 0,077; 0,950
 80; 9;TENNESS;Democrat;COOPER  J.;-0,135; 0,895
 80;10;TENNESS;Democrat;DAVIS  C.;-0,091; 0,741
 80; 1;TEXAS;Democrat;PATMAN  W.;-0,283; 0,879
 80; 2;TEXAS;Democrat;COMBS  J.;-0,234; 0,750
 80; 3;TEXAS;Democrat;BECKWORTH;-0,131; 0,743
 80; 4;TEXAS;Democrat;RAYBURN  S.;-0,213; 0,704
 80; 5;TEXAS;Democrat;WILSON  J.; 0,162; 0,964
 80; 6;TEXAS;Democrat;TEAGUE  O.; 0,010; 0,990
 80; 7;TEXAS;Democrat;PICKETT  T.; 0,112; 0,994
 80; 8;TEXAS;Democrat;THOMAS  A.;-0,129; 0,502
